,AI.mean,AI.median,AI.sd,AI_Mod.mean,AI_Mod.median,AI_Mod.sd,DBE.mean,DBE.median,DBE.sd,DBE_O.mean,DBE_O.median,DBE_O.sd,KenMass.mean,KenMass.median,KenMass.sd,KenDef.mean,KenDef.median,KenDef.sd,NOSC.mean,NOSC.median,NOSC.sd,Gibbs.mean,Gibbs.median,Gibbs.sd
June_P_1_S_12_so_R1,0.146066309058,0,0.250799096611715,0.232193476031646,0.157894736842105,0.252371094515515,9.60724985020971,8,6.4998294700381,0.420311563810665,-2,9.44864642831608,422.726059081756,406.641169564023,126.291530674592,0.314716978749921,0.306566274129295,0.104755411191627,-0.474185918912759,-0.482758620689655,0.505704581715115,73.8142986890136,74.0586206896552,14.4125805788808
June_P_1_D_12_so_R2,0.145731920398102,0,0.248719574612388,0.248345714225482,0.181818181818182,0.259940367622064,9.95506257110353,9,6.72180293086455,0.547023132347364,-1,9.08862261991936,414.650558627908,399.760137225173,119.491834280564,0.323000020203223,0.304704961953263,0.115557249843079,-0.348837411443476,-0.363636363636363,0.562634691081721,70.2418662261391,70.6636363636364,16.035088695829
June_P_1_D_12_so_R1,0.148882984550969,0,0.254616110134216,0.263995639932268,0.212121212121212,0.26237166008645,10.1818398474738,9,6.66816428451048,0.718541468064824,-1,9.06512359420451,405.787658635842,393.609285548654,115.274232811887,0.320288875917894,0.302854765922405,0.112190546695459,-0.298031466757835,-0.32,0.567020012141608,68.7938968025983,69.42,16.1600703460358
June_P_2_S_12_so_R1,0.166910321673301,0,0.267858961293957,0.259371420048489,0.177978883861237,0.270606598746318,10.3911439114391,9,7.08419958027511,0.844557195571956,-2,10.3802889905317,417.078187903939,400.594431753076,124.727965328469,0.328972000595298,0.31085654964275,0.117799351881352,-0.299800188417744,-0.333333333333333,0.536032094889072,68.8443053699057,69.8,15.2769147043385
June_P_2_M_12_so_R1,0.16955717194097,0,0.274294155939376,0.27028323921618,0.2,0.278264971889184,10.4763588157313,9,7.21732201341858,0.988952717631463,-1,10.1182929083122,414.215817943351,396.63392393503,123.168315021078,0.333645159230257,0.310927712949479,0.125234977267947,-0.282397123959791,-0.294117647058823,0.578690892406517,68.3483180328541,68.6823529411765,16.4926904335857
June_P_2_M_12_so_R2,0.192601843021754,0,0.286280104955191,0.292291938907371,0.230769230769231,0.279641200600705,11.0713190184049,9,7.53698312362095,1.7361963190184,-1,11.1398440521202,403.19893299341,384.69480016981,123.8000338279,0.32054752607025,0.300089742537835,0.119694852606171,-0.233036218223392,-0.260869565217392,0.509322582674317,66.9415322193667,67.7347826086957,14.515693606218
June_P_2_D_12_so_R2,0.174585652122832,0,0.273407412043214,0.278958951690073,0.222222222222222,0.277358532014574,10.4249093733817,9,7.15172763863188,1.21206628689798,-1,10.0460315897542,400.967378588182,384.64725062341,116.377861683887,0.322781814020307,0.301017605319828,0.129159881816216,-0.263918946323365,-0.285714285714286,0.557666173057576,67.8216899702159,68.4428571428571,15.8934859321409
June_P_2_D_12_so_R1,0.177322512063255,0,0.276017237769657,0.283739084323346,0.230769230769231,0.278067969014075,10.603848181339,10,7.25563733646973,1.37348444913021,-1,10.0982942398577,400.215754155286,383.711908402393,116.401789059885,0.320022897186775,0.2992088843543,0.120738254520449,-0.258217565541551,-0.272727272727272,0.557799880370363,67.6592006179342,68.0727272727273,15.8972965905553
June_P_3_D_12_so_R1,0.154827455178008,0,0.260518617942006,0.265559683725799,0.2,0.267967762753303,10.2450424929178,9,6.81556829326911,0.685552407932011,-1,9.30450030801763,403.524681174183,390.64058213497,113.666190796095,0.316811797218203,0.29977231166589,0.110675464031059,-0.28399190770415,-0.285714285714286,0.559038081754536,68.3937693695683,68.4428571428571,15.9325853300043
June_S_1_S_12_so_R1,0.129967381065366,0,0.234773103463801,0.252155107736362,0.192307692307692,0.251856150935635,10.1172529313233,9,5.96417368846728,-0.117922948073702,-1.5,7.81307016412264,412.9627976008,399.744643594839,115.603370286854,0.338735311733876,0.323791461687392,0.117424007759379,-0.186332196634901,-0.111111111111111,0.548272332239462,65.6104676040947,63.4666666666667,15.6257614688247
June_S_1_M_12_so_R1,0.138671746762455,0,0.247500445880896,0.26881604705093,0.217391304347826,0.260693755769756,10.4170692431562,10,6.099421820314,0.037037037037037,-1,8.05822530108571,408.880459675102,393.757786645643,118.129655960722,0.341714705953222,0.326040062358857,0.119080778995233,-0.120797735986777,-0.0666666666666664,0.534543125343842,63.7427354756231,62.2,15.2344790722995
June_S_1_D_12_so_R1,0.14445090375563,0,0.247533320383925,0.269614047814159,0.217391304347826,0.261244555671046,10.5169014084507,10,6.42176209776193,0.185915492957746,-1,8.4683084905886,413.15769603763,399.688990007599,119.202546202379,0.33763106517328,0.320252560530605,0.117905266376947,-0.167649610114108,-0.0952380952380949,0.547715669639779,65.0780138882521,63.0142857142857,15.6098965847337
June_S_2_S_12_so_R2,0.141051825710725,0,0.242181648636349,0.259855677387304,0.2,0.257061521731757,10.4272445820433,9,6.43620721599989,0.308221534227726,-1,8.47982167289131,416.328782782668,400.639608851534,120.444696306266,0.338260319157418,0.321922108500189,0.119995661285246,-0.210983353560614,-0.16,0.545273709978649,66.3130255764775,64.86,15.5403007343915
June_S_2_S_12_so_R1,0.150352328654352,0,0.250378967975597,0.274777557573453,0.219512195121951,0.261738429009174,10.5482791586998,10,6.41048145645653,0.531548757170172,-1,8.57643267383987,402.735864200497,388.725647458377,114.949636562083,0.330117827744447,0.314618929553717,0.113397360216668,-0.164445572480862,-0.0999999999999996,0.538653935222958,64.9866988157046,63.15,15.3516371538543
June_S_2_M_12_so_R1,0.138883489389135,0,0.242041430034368,0.245320166471073,0.179487179487179,0.25603561664443,9.79419642857143,9,6.44451442811559,0.0870535714285714,-1.5,8.62683590324176,398.40698155666,382.612706453143,113.151468558282,0.314120156633829,0.297688897767841,0.115296207454145,-0.27247621097398,-0.2,0.552931021736343,68.0655720127584,66,15.7585341194858
June_S_2_D_12_so_R1,0.13467152292939,0,0.235555729427974,0.246722500708215,0.18442932728647,0.252517693008615,9.94810508182601,9,6.40231662692903,0.135874246339363,-1,8.4748756007255,408.538728393887,395.648297624441,116.008924160472,0.321604447908209,0.306660668609766,0.111860332374385,-0.237467202348718,-0.190476190476191,0.534134038616757,67.0678152669385,65.7285714285714,15.2228201005776
June_S_3_S_12_so_R1,0.133192935654318,0,0.245188820269678,0.242527080367704,0.166666666666667,0.256967209423023,9.94349005424955,9,6.46879355291263,0.102622061482821,-1.5,8.95194732047748,403.811894126772,390.687444549486,113.365875813191,0.318512020319096,0.304852646862628,0.108887867726712,-0.213507947183728,-0.173913043478261,0.511509960425236,66.3849764947363,65.2565217391304,14.5780338721192
June_S_3_M_12_so_R1,0.108332191126869,0,0.18794418255049,0.221229764807247,0.191489361702128,0.20751862398398,8.43949930458971,9,5.11681472494034,0.285813630041725,-1,5.71520397148401,382.640515392502,370.756283739962,93.1290610732318,0.281642603644154,0.278112096121106,0.096376512455124,-0.545481166907528,-0.551724137931035,0.648970810056759,75.8462132568645,76.0241379310345,18.4956680866176
June_S_3_D_12_so_R1,0.173255748652045,0,0.281433833960599,0.269280858083166,0.191489361702128,0.28303223685676,10.443692088382,9,7.31990386791438,0.710263720598717,-2,10.5911225780131,393.836701213856,374.725574340113,120.241684511421,0.316404066781452,0.299283101390245,0.111637492564441,-0.185006319914336,-0.148148148148148,0.487504975421357,65.5726801175586,64.5222222222222,13.8938917995087
June_E_1_S_12_so_R1,0.134202785696679,0,0.240021935182197,0.238378378228209,0.163213530655391,0.255603209674549,9.86795774647887,9,6.7199561277145,-0.0880281690140845,-2,9.1546330933852,402.159666420513,378.712039042071,122.327261245035,0.321618186352762,0.303051046508756,0.115908728791141,-0.258383546839944,-0.194335169158143,0.536740377261491,67.6639310849384,65.8385523210071,15.2971007519525
June_E_1_D_12_so_R1,0.149870156129852,0,0.254480875911804,0.250029502635666,0.176470588235294,0.263851271330587,9.96501943364797,9,6.77777398004847,0.389783453636868,-2,9.32000155029633,392.435531357254,374.790642802867,114.856194203513,0.310733169586312,0.295150763610678,0.11074959001212,-0.260505395292033,-0.190476190476191,0.51324306939668,67.7244037658229,65.7285714285714,14.6274274778054
June_E_2_S_12_so_R2,0.140703759012372,0,0.248146056145595,0.253633482034961,0.19047619047619,0.261653247634526,9.98088410991637,9,6.74534167884222,0.148745519713262,-1.5,9.18552430532155,388.377438316623,368.641460660048,117.572274993661,0.311980543025982,0.295341614552314,0.112486362850981,-0.226129604287554,-0.166666666666667,0.541045294431948,66.7446937221953,65.05,15.4197908913105
June_E_2_S_12_so_R1,0.14435879604724,0,0.252252940518534,0.25899266080905,0.2,0.264738481145109,10.090935334873,9,6.76813001303487,0.285508083140878,-1.25,9.20474679281648,389.206702997457,368.597447910015,118.4381706913,0.31582195533512,0.299042070828023,0.114715888998748,-0.214146399018994,-0.166666666666667,0.544210848955402,66.4031723720413,65.05,15.5100091952289
June_E_2_M_12_so_R2,0.149044287677135,0,0.266301191178273,0.243982648711183,0.151515151515152,0.274040742158933,9.82869379014989,8,7.10341399356856,0.134189864382584,-2,10.1212919949374,384.75908661036,366.729460652913,114.977440277051,0.301718158641532,0.286336588028405,0.105978260584207,-0.215081617654913,-0.153846153846154,0.491979111696606,66.429826103165,64.6846153846154,14.0214046833533
June_E_2_M_12_so_R1,0.151745349244361,0,0.270707727586685,0.247837774047765,0.153846153846154,0.278042584695365,9.95064935064935,8,7.25092135709233,0.242857142857143,-2,10.1596473844484,388.220873933082,369.672394473321,116.903367669135,0.307159539721757,0.291592198720707,0.108150130190789,-0.209434257834169,-0.153846153846154,0.491594638049245,66.2688763482738,64.6846153846154,14.0104471844035
June_E_2_D_12_so_R1,0.146888372766656,0,0.25066898959697,0.26091550840716,0.209302325581395,0.258456989393051,10.0953137410643,9,6.73741318074689,0.517871326449563,-1,9.11570422456006,381.020876520963,360.725615793773,114.558078052738,0.300147245032864,0.283601231480532,0.109952576462333,-0.232016207041758,-0.153846153846154,0.535385029944563,66.9124619006901,64.6846153846154,15.25847335342
June_E_3_S_12_so_R1,0.13964547456644,0,0.245246549702471,0.251595325263819,0.191489361702128,0.258089741641213,9.62648221343873,9,6.41671711863453,0.13399209486166,-1,8.62831473361644,371.257035032619,353.673091957918,107.780043739547,0.291505361135586,0.276510079803643,0.104484341302757,-0.24056014041726,-0.176470588235294,0.549417332222616,67.1559640018919,65.3294117647059,15.6583939683446
June_E_3_M_12_so_R1,0.129094676824407,0,0.235345407518802,0.237555945981598,0.173913043478261,0.248974857790335,9.42841490138787,8,6.43557732091395,0.200511322132944,-1,8.40091933331057,376.978932190681,360.671125556075,106.652292655175,0.287405663819285,0.274148020248788,0.101127784783063,-0.298675611630443,-0.222222222222222,0.557048041414024,68.8122549314676,66.6333333333333,15.8758691802997
June_E_3_D_12_so_R2,0.150435950032712,0,0.250690493163851,0.254436755295063,0.189189189189189,0.259924850514952,9.94419889502762,9,6.63722204440804,0.511602209944751,-1,8.98411645372925,393.596991510352,373.678102064478,118.327583418865,0.314170877879496,0.295520236307311,0.118039105831746,-0.291923128763114,-0.202564102564103,0.547428876655485,68.6198091697488,66.0730769230769,15.6017229846813
June_E_3_D_12_so_R1,0.151987642369734,0,0.252507573090138,0.254849236176757,0.1875,0.261099827309946,9.96980413492927,9,6.67615758443911,0.487758433079434,-1,9.05401665060249,396.811488713608,376.708517992387,118.12488881526,0.317203886567104,0.299283101390245,0.114664884615222,-0.288583611215131,-0.2,0.543431248187513,68.5246329196312,66,15.4877905733441
July_P_1_S_12_so_R1,0.149369416839795,0,0.256776986120272,0.243327099162461,0.157894736842105,0.265174166960483,9.92815191855912,8.5,6.88544466026895,0.329091620986688,-2,9.79633272895389,414.48779561625,398.6185842683,121.888644835707,0.326467075128392,0.307044118538954,0.11858617640671,-0.318015160413692,-0.333333333333333,0.543564255800212,69.3634320717902,69.8,15.491581290306
July_P_1_M_12_so_R1,0.167798719312324,0,0.273416191346348,0.292575088988457,0.25,0.270355525156345,10.546408393866,10,6.72240253885983,1.1089588377724,0,9.58733727324926,380.936316243685,366.694948432645,107.637005704426,0.301977200643768,0.285582530956503,0.109236519213746,-0.196319105224687,-0.181818181818182,0.532878609816189,65.8950944989036,65.4818181818182,15.1870403797614
July_P_1_D_12_so_R1,0.152068433020248,0,0.256548154091161,0.263424843525107,0.217391304347826,0.262178238064891,9.52946593001842,9,6.48742541864125,0.79097605893186,0,8.87693908538825,371.865612263327,361.752052184522,97.0579742025107,0.280992120431113,0.268758380810027,0.0987875666787256,-0.294927136130355,-0.280788177339901,0.5581189956825,68.7054233797151,68.3024630541872,15.9063913769513
July_P_2_S_12_so_R2,0.172256614503882,0,0.273640884205152,0.287150699596031,0.234042553191489,0.273265697536441,10.9456697149005,10,6.94345191995278,1.02151694459387,-1,10.0755659244887,406.10469811477,392.588913428917,118.230574954672,0.329564833437565,0.312708472314881,0.114219362765266,-0.188648346177215,-0.1875,0.511975058048088,65.6764778660506,65.64375,14.5912891543705
July_P_2_S_12_so_R1,0.165604049661721,0,0.270756002898427,0.269008150515852,0.19047619047619,0.276911639458938,10.4624545821558,9,6.97217839107833,0.631207105369399,-2,9.83429670266296,409.530381371031,392.625791254776,120.214432422059,0.335490462053927,0.316242514617613,0.122261251533412,-0.239132959864387,-0.230769230769231,0.547015727148352,67.115289356135,66.8769230769231,15.589948223728
July_P_2_M_12_so_R1,0.170799224121371,0,0.275746258273952,0.287182103630815,0.235294117647059,0.273420801151839,10.331718061674,9,6.7961861743599,1.1511013215859,-1,9.67033027288761,381.855243599738,368.742820504222,109.502081104699,0.300346104449838,0.286021911220701,0.110337903664652,-0.24958793805936,-0.258064516129032,0.553718217160246,67.4132562346917,67.6548387096774,15.780969189067
July_P_2_D_12_so_R1,0.146011226654714,0,0.246720673054667,0.276511485499644,0.230769230769231,0.258870648052879,10.1302421736562,10,6.22796501494423,0.6624335499114,-1,8.16273355766537,386.60167373199,376.677598655788,103.072990408511,0.30672940229756,0.290078476560154,0.106429156084374,-0.218344592212322,-0.2,0.572043655870201,66.5228208780512,66,16.3032441923007
July_P_3_S_12_so_R1,0.159662639398634,0,0.26513964460354,0.258077076690645,0.181818181818182,0.26986647537223,10.1259340659341,9,6.91461207227034,0.764175824175824,-1.5,9.7787694378839,407.118521793674,392.7161419556,116.999899353635,0.321359566125458,0.303678231120216,0.11049724081358,-0.321287227500628,-0.333333333333333,0.539403118787004,69.4566859837679,69.8,15.3729888854296
July_P_3_M_12_so_R2,0.15963334823079,0,0.263473738980161,0.282086422316483,0.24,0.269765828383177,10.7522333158171,10,6.92448102305871,0.763794009458749,-1,9.52186524108737,409.440917197782,393.721511595966,121.485212869176,0.33494973201809,0.316335981563498,0.12007969645502,-0.193916481402229,-0.190476190476191,0.534482552369357,65.8266197199635,65.7285714285714,15.2327527425267
July_P_3_M_12_so_R1,0.158692486245403,0,0.263223861611288,0.277399131076026,0.225806451612903,0.272314717377619,10.7603462837838,10,6.95625010416087,0.625633445945946,-1,9.5398542325852,417.953912616461,400.66070247188,125.396362490592,0.344049435542282,0.323883858401189,0.123867368646127,-0.194823660813652,-0.190476190476191,0.550375913009376,65.8524743331891,65.7285714285714,15.6857135207672
July_S_1_S_12_so_R1,0.145935114912325,0,0.25249143260649,0.25400423432541,0.179487179487179,0.2614496170376,10.0939393939394,9,6.53930433213956,0.227272727272727,-2,9.07894927693879,408.459297002792,392.722631700991,116.097848447223,0.327310140064748,0.310544234480744,0.116318357231674,-0.259548523129339,-0.222222222222222,0.547065811169953,67.6971329091862,66.6333333333333,15.5913756183437
