Name,Habitat,OTU
micro1436,Palsa,20150700_P14_7
micro1379,Palsa,3300037394_5
micro1376,Palsa,20111000_P1S_5
micro1366,Palsa,PMST01
micro1332,Palsa,PMWT01
micro1286,Palsa,20170700_S34_32
micro1277,Palsa,20120500_P23_5
micro1213,Palsa,20160700_P15_8
micro1212,Palsa,20110800_P3M_18
micro1046,Palsa,20110800_P3S_5
micro758,Palsa,20111000_P2M_7
micro733,Palsa,20110800_P1S_5
micro675,Palsa,20150700_P15_11
micro669,Palsa,20120600_P3M_2
micro668,Palsa,20120700_P3D_40
micro635,Palsa,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.152_78.26_8.29
micro634,Palsa,20150700_P31_13
micro598,Palsa,20110700_P1S_2
micro458,Palsa,20120800_P2M_7
micro419,Palsa,20110700_P3M_9
micro408,Palsa,20120600_P3M_6
micro406,Palsa,20120700_P2M_5
micro195,Palsa,Palsa.Unlabelled.R3.T3.F2.trimmomatic.metaspades_bin.58_71.79_7.57
micro189,Palsa,20110700_P3S_8
micro171,Palsa,20110800_P3M_11
micro169,Palsa,20120600_P3M_10
micro108,Palsa,20160700_P15_15
micro87,Palsa,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.320_77.36_1.34
micro85,Palsa,20120700_P3D_87
micro77,Palsa,Palsa.None.R2.T0.JGI.BFC.metaspades_bin.298_98.43_2.66
micro1599,Bog,3300037207_8
micro1582,Bog,PMGM01
micro1580,Bog,PLTK01
micro1552,Bog,20120700_S1D_59
micro1539,Bog,20140700_E22_12
micro1305,Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.142_81.20_4.70
micro1301,Bog,3300037549_16
micro1294,Bog,20110700_P2D_26
micro1286,Bog,20170700_S34_32
micro1274,Bog,20130700_S2S_8
micro1272,Bog,20110800_S1S_6
micro1238,Bog,20120600_S2D_17
micro1186,Bog,20120700_S1S_1
micro1185,Bog,20110800_S3S_12
micro1094,Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.34_94.27_1.08
micro1085,Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.118_76.60_1.35
micro1053,Bog,20170700_S24_4
micro1051,Bog,20120700_S1D_29
micro1048,Bog,PLGF01
micro1047,Bog,20170700_S25_32
micro1011,Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.304_97.97_7.51
micro995,Bog,20120700_S1D_108
micro994,Bog,20120700_S1D_49
micro985,Bog,Bog.None.R1.T0.trimmomatic.megahit_bin.149_91.22_4.05
micro981,Bog,20120700_S1D_77
micro975,Bog,20150700_E14_4
micro918,Bog,3300036876_9
micro866,Bog,Bog.Labelled.R1.T2.F2.trimmomatic.metaspades_bin.96_95.35_0.00
micro772,Bog,3300036876_12
micro762,Bog,20120700_S1D_102
micro749,Bog,20120700_S1D_60
micro736,Bog,20110800_S3D_28
micro730,Bog,20140700_S22_6
micro729,Bog,20110800_S1D_14
micro710,Bog,20110600_S1S_4
micro659,Bog,20110800_S3S_25
micro651,Bog,Bog.Unlabelled.R2.T3.F2.JGI.BFC.metaspades_bin.69_94.23_0.86
micro619,Bog,20110700_S3M_11
micro615,Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.277_97.34_4.31
micro585,Bog,Bog.None.R2.T0.JGI.BFC.metaspades_bin.50_93.75_3.45
micro582,Bog,20130700_S2M_1
micro580,Bog,20120600_S2D_6
micro579,Bog,20170700_S25_9
micro569,Bog,20110700_P2D_11
micro559,Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.37_91.86_1.77
micro558,Bog,20170700_S34_24
micro551,Bog,20150700_E14_2
micro532,Bog,Bog.Unlabelled.R2.T1.F3.JGI.BFC.metaspades_bin.31_72.82_1.94
micro523,Bog,20110600_S1D_17
micro506,Bog,20120600_S3M_3
micro449,Bog,20110700_S3M_12
micro443,Bog,20120700_S1D_63
micro442,Bog,3300022861_2
micro424,Bog,Bog.None.R3.T0.JGI.BFC.metaspades_bin.339_96.94_3.52
micro324,Bog,Bog.Unlabelled.R3.T3.F3.trimmomatic.metaspades_bin.83_91.54_6.45
micro199,Bog,20110800_S2M_9
micro196,Bog,Bog.None.R2.T0.trimmomatic.megahit_bin.358_96.68_6.10
micro190,Bog,20120700_S1D_45
micro161,Bog,20160700_S33_6
micro129,Bog,20110800_S3S_28
micro126,Bog,Bog.Unlabelled.R3.T3.F3.JGI.BFC.metaspades_bin.22_74.64_1.66
micro94,Bog,Bog.Unlabelled.R3.T1.F3.JGI.BFC.metaspades_bin.133_95.29_6.77
micro66,Bog,20120700_P3D_148
micro44,Bog,Fen.Labelled.R1.T3.F4.trimmomatic.metaspades_bin.40_93.84_3.50
micro32,Bog,PLSW01
micro22,Bog,20120700_S1D_28
micro1677,Fen,20120600_E3D_18
micro1648,Fen,20120600_E1D_32
micro1647,Fen,PMKN01
micro1638,Fen,20120600_E3D_45
micro1629,Fen,PMJT01
micro1621,Fen,20120600_E2D_57
micro1620,Fen,20130700_C2Y_6
micro1619,Fen,20120600_E3D_48
micro1617,Fen,20120600_E1D_52
micro1615,Fen,20120600_E1D_51
micro1595,Fen,3300038519_6
micro1592,Fen,PMAZ01
micro1585,Fen,PMMV01
micro1584,Fen,Fen.Labelled.R3.T1.F1.trimmomatic.metaspades_bin.4_83.17_2.00
micro1582,Fen,PMGM01
micro1579,Fen,20100900_E3D_5
micro1565,Fen,20110800_E1S_5
micro1539,Fen,20140700_E22_12
micro1506,Fen,20120600_E1D_5
micro1479,Fen,PMDX01
micro1474,Fen,20120600_E2D_24
micro1473,Fen,20120600_E3D_41
micro1472,Fen,20120600_E1D_9
micro1470,Fen,20130700_C1D_14
micro1466,Fen,20120600_E2D_38
micro1463,Fen,20120600_E3D_20
micro1461,Fen,20120600_E3D_25
micro1408,Fen,20100900_E3D_12
micro1407,Fen,20130700_C1D_16
micro1360,Fen,PMBM01
micro1083,Fen,20120800_E3X_3
micro1079,Fen,20130700_C1D_8
micro1061,Fen,20130700_C1D_9
micro1060,Fen,20130700_C2X_6
micro1037,Fen,20120800_E1D_21
micro1036,Fen,20170700_S34_36
micro1027,Fen,20120600_E1D_13
micro1023,Fen,20110600_S1D_11
micro1022,Fen,PMZK01
micro1021,Fen,20120500_P26_12
micro1020,Fen,20110700_P2D_27
micro1019,Fen,20130700_S2Y_8
micro974,Fen,20110700_P1D_2
micro915,Fen,20120600_E3D_13
micro868,Fen,20120600_E3D_50
micro867,Fen,20120600_E3D_27
micro839,Fen,20120600_E1D_53
micro835,Fen,PMJR01
micro832,Fen,PMCM01
micro818,Fen,20100900_E2D_7
micro817,Fen,20120600_E3D_42
micro796,Fen,20120600_E2D_9
micro775,Fen,20110800_E3D_41
micro774,Fen,PMBB01
micro768,Fen,20110800_E2D_32
micro766,Fen,PMDT01
micro760,Fen,20110700_P2D_21
micro759,Fen,20110800_E2D_9
micro742,Fen,20130700_C2M_9
micro741,Fen,20120700_S1X_15
micro740,Fen,20120800_E3S_6
micro739,Fen,20110600_S3M_2
micro738,Fen,20120700_P3D_102
micro688,Fen,20120600_E1D_55
micro623,Fen,20120800_E1D_18
micro571,Fen,20120600_E1D_19
micro500,Fen,20100900_E1D_10
micro498,Fen,20160700_E25_27
micro495,Fen,3300037355_2
micro379,Fen,3300038458_11
micro374,Fen,20120600_E2D_11
micro371,Fen,20120600_E3D_2
micro366,Fen,20120800_E2X_6
micro365,Fen,20150700_E25_9
micro352,Fen,20150700_E34_11
micro351,Fen,3300037132_9
micro347,Fen,20150700_E15_6
micro340,Fen,3300037225_16
micro338,Fen,PMCI01
micro303,Fen,20120600_E1D_31
micro297,Fen,20120600_E2D_1
micro296,Fen,20110800_E1D_3
micro295,Fen,PNBO01
micro229,Fen,20120600_E3D_37
