Member,Value,Direction,Domain,Phylum,Class,Order,Family,Genus,Species
20120700_S1D_104,-0.655784636,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120700_S1D_106,-0.216664257,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__
20120700_S1D_107,3.114498102,Sig. High,d__Bacteria,p__Fibrobacterota,c__Chitinivibrionia,o__Chitinivibrionales,f__Chitinispirillaceae,g__BOG-1184,s__BOG-1184 sp003164335
20120700_S1D_108,-0.533075117,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_113,0.082706815,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__Pedosphaera,s__
20120700_S1D_114,-0.465222713,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003165075
20120700_S1D_115,-0.743447573,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Palsa-688,g__Fen-671,s__
20120700_S1D_13,0.826298066,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__Bog-366,s__Bog-366 sp003165615
20120700_S1D_19,-0.616283198,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20120700_S1D_20,1.135647766,High,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Azospirillales_A,f__BOG-932,g__BOG-932,s__BOG-932 sp003165335
20120700_S1D_21,-0.455206549,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-209,s__
20120700_S1D_24,3.293068962,Sig. High,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__UBA11386,g__,s__
20120700_S1D_25,2.831770708,Sig. High,d__Bacteria,p__Acidobacteriota,c__Holophagae,o__Holophagales,f__Holophagaceae,g__Holophaga,s__Holophaga sp003165415
20120700_S1D_26,1.991136384,High,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__,g__,s__
20120700_S1D_27,-0.078518824,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__Roseiarcus sp003164915
20120700_S1D_28,2.302313289,Sig. High,d__Bacteria,p__Armatimonadota,c__SYMT01,o__,f__,g__,s__
20120700_S1D_29,-0.507278629,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20120700_S1D_30,3.083851089,Sig. High,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SM23-33,f__SM23-33,g__,s__
20120700_S1D_31,-0.259604457,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Rhodoblastus,s__
20120700_S1D_33,0.013393658,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,s__
20120700_S1D_35,2.478533228,Sig. High,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__UBA6186,f__UBA6186,g__UBA6186,s__
20120700_S1D_39,2.359583348,Sig. High,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__,g__,s__
20120700_S1D_41,-0.215665,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
20120700_S1D_43,-0.73060465,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Mycobacteriales,f__Mycobacteriaceae,g__Mycobacterium,s__Mycobacterium sp003165155
20120700_S1D_45,-0.495196492,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__
20120700_S1D_46,-0.597140165,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__
20120700_S1D_48,1.305850661,High,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7540,f__UBA7540,g__Bog-366,s__Bog-366 sp003165315
20120700_S1D_49,-0.556484109,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_5,-0.043424953,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-234,s__
20120700_S1D_51,-0.232160744,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-288,s__
20120700_S1D_52,-0.126776483,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Acidocella,s__Acidocella sp003164135
20120700_S1D_55,-0.22460747,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-375,s__Bog-375 sp003164035
20120700_S1D_57,-0.539299367,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120700_S1D_6,0.080598769,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Rhodoblastus,s__
20120700_S1D_60,-0.699295635,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20120700_S1D_61,-0.022622592,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__PALSA-1440,s__
20120700_S1D_63,-0.16232443,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
20120700_S1D_64,-0.39587031,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20120700_S1D_66,-0.49156131,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__Bog-756,s__Bog-756 sp003164275
20120700_S1D_67,-0.489617882,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_69,-0.643664818,Insignificant,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1524,s__
20120700_S1D_73,2.939628106,Sig. High,d__Bacteria,p__Planctomycetota,c__Brocadiae,o__,f__,g__,s__
20120700_S1D_76,-11.66599176,Sig. Low,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-257,s__Bog-257 sp003165795
20120700_S1D_77,-0.418812909,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_79,-0.256522104,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__TOLSYN,s__
20120700_S1D_84,0.294940644,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__BOG-938,s__BOG-938 sp003164925
20120700_S1D_85,-0.455127778,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_86,-0.168800916,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__,s__
20120700_S1D_87,-0.301242153,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__BOG-931 sp003164375
20120700_S1D_89,-0.367380094,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20120700_S1D_9,-0.442694833,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_90,-0.226481717,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120700_S1D_95,-0.044506335,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-934,s__BOG-934 sp003164305
20120700_S1D_96,-0.440809582,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20120700_S1D_97,2.769450927,Sig. High,d__Bacteria,p__Desulfobacterota,c__Syntrophobacteria,o__Syntrophobacterales,f__Syntrophobacteraceae,g__SbD1,s__SbD1 sp003165235
20120700_S1D_98,-0.212965985,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Palsa-1400,g__,s__
20120700_S1S_1,0.235486139,Insignificant,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1492,s__
20120700_S1S_11,-0.454283656,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003163875
20120700_S1S_3,-0.34312284,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003136495
20120700_S1S_6,0.361701863,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-105,s__Bog-105 sp003163855
20120700_S1X_12,-0.576365383,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Bog-257,s__Bog-257 sp003160215
20120700_S1X_15,-0.270610894,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
20120700_S1X_2,-0.621335191,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003139355
20120700_S2X_13,-0.143368657,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__BOG-1460,s__BOG-1460 sp003159675
20120700_S3D_8,4.635327895,Sig. High,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__GWA1-40-21,g__Bog-1340,s__Bog-1340 sp003142075
20120700_S3X_18,0.401095023,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Bog-793,s__Bog-793 sp003159795
20120700_S3X_22,-0.422996674,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003142095
20120700_S3X_7,-0.505657679,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003166055
20120800_E1D_14,-11.63066305,Sig. Low,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142015
20120800_E1D_18,-0.666365286,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003142935
20120800_E1D_21,-0.139847962,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__PALSA-1440,s__
20120800_E1D_7,-0.437252304,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120800_E1D_8,-0.605833288,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20120800_E3S_6,-0.365397967,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__Fen-178 sp003142355
20120800_E3X_27,-0.650520884,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003170825
20120800_P1D_1,-0.449246192,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__Terracidiphilus sp003140785
20120800_S3X_7,-0.234804741,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__Granulicella_A sp003138795
20130700_C1Y_13,-0.334686367,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__BOG-224,s__
20130700_C2D_3,-0.524230262,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_C2M_2,0.209462766,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Bog-532,s__
20130700_C2M_5,-0.259576755,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-375,s__
20130700_C2M_9,-0.441632966,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Fen-178,s__
20130700_C2X_13,0.225590738,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003142035
20130700_C2Y_2,-0.535212843,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_E2Y_10,-0.623671888,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_P1Y_10,1.309628529,High,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Palsa-1439,f__Palsa-1439,g__Palsa-1439,s__
20130700_S1X_7,0.037130065,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocella,s__Methylocella sp003162995
20130700_S1Z_5,-0.609864527,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_S2D_2,-0.61305278,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_S2M_1,-0.515774592,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_S2S_12,-0.213591283,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Granulicella_A,s__
20130700_S2S_8,-0.003172501,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003138895
20130700_S2Y_8,-0.57292778,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20130700_S3M_11,-0.078411438,Insignificant,d__Bacteria,p__Actinobacteriota,c__Actinomycetia,o__Streptosporangiales,f__Streptosporangiaceae,g__Palsa-504,s__
20130700_S3M_3,-0.554830866,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20130700_S3M_8,-0.43858002,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20130700_S3Z_1,-0.358873239,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__
20130700_S3Z_17,-0.583422875,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20140700_E14_11,-11.52981359,Sig. Low,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__Bog-793,g__Fen-455,s__Fen-455 sp003140595
20140700_E22_12,0.080716996,Insignificant,d__Bacteria,p__Dormibacterota,c__Dormibacteria,o__UBA8260,f__UBA8260,g__UBA8260,s__UBA8260 sp003135255
20140700_S11_11,-0.776452667,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S11_15,-0.580399948,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S11_5,-11.76336123,Sig. Low,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003133125
20140700_S11_6,-0.561680688,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S11_7,0.612985205,Insignificant,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1527,s__Bog-1527 sp003155175
20140700_S12_11,0.231696167,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__,s__
20140700_S12_15,-11.59325536,Sig. Low,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,s__Methylocystis sp003134075
20140700_S15_2,-0.41079656,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__RAAP-2 sp003138815
20140700_S16_1,-0.533657683,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S16_20,-0.658047957,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S21_12,-0.667527958,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S21_13,-0.396606592,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20140700_S21_14,-0.133275536,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Koribacteraceae,g__Sulfotelmatobacter,s__
20140700_S21_17,-0.70366725,Insignificant,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__UBP12,f__UBA5184,g__Bog-1524,s__Bog-1524 sp003164045
20140700_S21_18,0.233691479,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Palsa-343,s__
20140700_S21_3,-0.438274636,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20140700_S21_6,-0.455277609,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__BOG-931,s__
20140700_S22_6,-0.531604096,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Bryobacterales,f__Bryobacteraceae,g__Bog-159,s__
20140700_S22_7,-0.324921766,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__UBA11358 sp003133815
20140700_S31_11,-0.448673216,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__Bog-1198,s__
20140700_S31_3,1.346384112,High,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__UBA7541,f__UBA7541,g__Palsa-295,s__
20140700_S31_6,-0.671580074,Insignificant,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Acidimicrobiales,f__RAAP-2,g__RAAP-2,s__
20140700_S31_9,0.418844827,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Palsa-513,s__
20140700_S32_12,-0.478073353,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20140700_S33_15,0.384679997,Insignificant,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__FEN-1191,s__
20140700_S33_2,-0.005814138,Insignificant,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Palsa-744,s__
20140700_S36_11,2.663926179,Sig. High,d__Bacteria,p__Goldbacteria,c__PGYV01,o__PGYV01,f__Palsa-1178,g__Bog-1181,s__Bog-1181 sp003159495
20150700_E14_10,-0.632440221,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20150700_E14_13,-0.533333884,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20150700_E14_2,-0.609809037,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20150700_E14_4,-0.349942765,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20150700_E14_5,-0.350891803,Insignificant,d__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Pedosphaerales,f__Pedosphaeraceae,g__UBA11358,s__
20150700_E15_18,2.577666993,Sig. High,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__FEN-979,g__FEN-979,s__
20150700_E15_20,-0.71914371,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20150700_E15_22,-0.495094748,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20150700_E15_4,-0.593001963,Insignificant,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Acidobacteriales,f__Acidobacteriaceae,g__Terracidiphilus,s__
20150700_E15_6,1.750403611,High,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__Smithellaceae,g__Smithella,s__
20150700_E23_13,-0.24894009,Insignificant,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__BOG-930,s__
